chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.3249196,0.022398481,2084.217421470479,1218.0867581710033,3153.6740522664704,0.1374492851622875,-491.60742,67.97247,8.536622,21.484945,19.123165,1.045589,-16.596197,-6.222138,-7.7803254,-10.101427,-6.042404,-4.801095,-5.52387,-8.844734,-6.0751824,-3.2697372,-8.045405,-7.596706,-8.414668,-8.675213,REAL
0.32782674,0.023921749,1951.7860896399077,1441.1567715938345,3205.8596202726526,0.10915840538060279,-488.43848,61.403545,26.00371,25.890429,22.663933,7.9788947,-12.756191,-1.4936565,-1.6067406,-8.985401,-9.310129,-2.6677237,-1.7364116,-9.767786,-6.627184,-3.8905609,-8.537563,-5.0363436,-9.781763,-8.757393,REAL
0.33778864,0.029764703,1806.7661885407783,1376.1688767895646,2813.1948385577666,0.10805618781394899,-458.5054,69.96662,-1.6252444,-0.825355,-6.544525,-6.5811634,-12.167872,-12.301165,-12.100139,-2.7642248,-10.5272665,-7.278201,-8.734935,-4.4796634,-8.899043,-11.84647,-9.573208,-8.74053,-5.834911,-4.3377905,REAL
0.31490463,0.030108156,1732.6847152566427,1017.0224647517807,2634.056560628381,0.11866932416441267,-490.27414,68.099464,23.988298,20.310532,19.089014,9.37865,-5.9250803,2.651534,-3.6112525,-8.040572,-4.9135303,-2.5903986,-5.28226,-9.143073,-7.5837007,-7.943367,-7.1058598,-2.4204879,-10.324329,-9.542696,REAL
0.31781182,0.02204219,1707.2950432245934,1381.48793866698,2859.3743764210044,0.10458137819272446,-473.54895,55.865524,14.9746895,18.821589,19.4616,5.993261,-12.481693,-1.0407685,-5.9432034,-6.2816343,-1.0134509,-4.733916,-3.4249117,-9.601941,-7.274724,-3.1821787,-7.8638453,-5.2909765,-9.733001,-10.232399,REAL
0.37219286,0.026902972,1490.9800173314907,1244.029735016358,2459.735796072015,0.08625258102299073,-474.76428,86.99584,27.216263,26.23354,15.478405,8.486114,-6.498896,-0.54376525,-4.1884003,-9.545937,-5.353033,-3.7170165,-1.3130087,-7.418168,-4.492465,-0.9639638,-6.549389,-1.3206571,-3.8507338,-6.508279,REAL
0.4162389,0.02693758,1012.5283881203117,847.5935343587118,1633.7401209970008,0.06483785434404024,-492.8606,94.03979,26.763243,18.370909,9.804935,-4.0068736,-15.958742,-14.892475,-16.32056,-12.584077,-9.435692,-3.4174669,-2.4549406,-6.055437,-2.9588366,-2.0187633,-5.8946323,-4.833007,-3.19421,-4.4817977,REAL
0.32529312,0.016692506,1542.7066783140028,1040.2476342787188,2446.043542442676,0.1078050926373839,-522.264,61.785725,19.06708,16.7326,21.282974,7.5719066,-11.531326,-2.8278358,-1.5826263,-6.50707,-3.8523407,-0.94973195,-7.0317655,-12.347507,-10.338993,-2.5438051,-7.5110354,-9.862994,-8.777678,-10.402318,REAL
0.32680523,0.027511034,1920.2939301464585,1281.8628976705706,2928.986053592591,0.11691377267106348,-474.8283,69.73122,13.596346,20.613194,27.655407,9.322452,-12.536206,-4.463963,-4.885967,-8.269356,-3.942647,-3.887829,-3.5249708,-9.948042,-8.142314,-3.9137936,-6.674166,-6.0815544,-10.715971,-12.50398,REAL
0.4230709,0.018496756,1459.784929054818,1113.1091924303992,2413.9236568114857,0.08902227528496909,-517.40906,80.948845,24.43013,30.220325,10.587056,5.762351,0.8026013,-3.9248254,-1.2928933,-9.433651,-4.3221383,1.8063508,-3.3805,-4.978578,1.2006029,-0.018858567,-3.374609,-0.6749115,-3.2824175,-5.0928845,REAL
